"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"County","Marinette",,"WI","Marinette, WI","Marinette, WI-MI",,3.9697322467986,,,,100600,0.399201596806387,5.23012552301255,0.0154572564612325,,0.158917682926829,0.0203836930455635,101
"County","Marquette",,"MI","Marquette, MI","Marquette, MI",,7.0256111757858,,,,143900,0.139178844815588,4.50254175744372,0.0561917998610146,,0.0839287876952888,0.0115440115440115,78
"County","McCracken",,"KY","Paducah, KY","Paducah, KY-IL",,5.42491268917346,,,,131500,0.228658536585366,8.85761589403973,0.0173916349809886,,0.0909090909090909,0.019047619047619,65
"County","McDonough",,"IL","Macomb, IL","Macomb, IL",,0.657741559953434,,,,68500,-0.291120815138282,4.26179604261796,0.00567883211678821,,0.161971830985915,0.0391304347826087,179
"County","McPherson",,"KS","McPherson, KS","McPherson, KS",,6.48428405122235,,,,137400,0.145772594752187,3.30827067669173,0.00907569141193587,,0.0483063328424153,0.0182926829268293,91
"County","Mendocino",,"CA","Ukiah, CA","Ukiah, CA",,7.51455180442375,75,1.7949,1.6848,360700,0.529542920847269,5.43700672318036,0.052192958136956,,0.0690080098582871,0.0148809523809524,71
"County","Merrimack",,"NH","Concord, NH","Concord, NH",,5.45983701979045,84.44,,,243000,0.247524752475248,6.48553900087642,0.0722592592592592,,0.0491004303416809,0.0295670538542767,64
"County","Middlesex",,"CT","Hartford, CT","Hartford-West Hartford-East Hartford, CT",,2.42724097788126,65.85,1.1153,0.7028,294400,-0.0678886625933469,4.3601559730592,0.0104381793478261,,0.0874764895844423,0.0470588235294118,88
"County","Middlesex",,"MA","Boston, MA","Boston-Cambridge-Newton, MA-NH",,6.89755529685681,95.93,9.6662,3.958,539600,0.390697674418605,7.96318527410964,0.0827668643439585,,0.036801942972897,0.0265129682997118,61
"County","Middlesex",,"NJ","New York, NY","New York-Newark-Jersey City, NY-NJ-PA",,2.20605355064028,82.2,6.9756,4.1547,321700,0.249298846992833,9.19891378139851,0.078843643145788,,0.0990325055673036,0.0768140589569161,89
"County","Middlesex",,"VA",,,,3.15483119906868,66.67,,,234600,0.213583938487826,4.03547671840355,-0.022075873827792,,0.0956043956043956,0.0114942528735632,128
"County","Milwaukee",,"WI","Milwaukee, WI","Milwaukee-Waukesha-West Allis, WI",,2.38649592549476,80.77,4.1552,2.8322,153500,0.39241334205363,5.93512767425811,0.0603257328990228,,0.112481782985677,0.0367752911922523,62
"County","Minnehaha",,"SD","Sioux Falls, SD","Sioux Falls, SD",,8.37601862630966,,,,190000,0.369783412572636,7.52688172043011,0.0296894736842106,,0.0681889149102264,0.00515168860904408,55
"County","Montezuma",,"CO",,,,7.89289871944121,100,,,218400,0.831024930747922,11.8852459016393,-0.00138736263736261,,0.0911910669975186,0.0476190476190476,108
"County","Morehouse",,"LA","Bastrop, LA","Bastrop, LA",,0.0640279394644936,,,,80600,-0.247524752475248,4.40414507772021,0.0171091811414392,,0.135818908122503,0.053921568627451,
"County","Multnomah",,"OR","Portland, OR","Portland-Vancouver-Hillsboro, OR-WA",,6.29220023282887,99.05,3.5162,1.5164,403300,-0.173267326732673,1.92064695476371,0.0104735928589139,,0.0423112204478172,0.00542005420054201,49
"County","Muscatine",,"IA","Muscatine, IA","Muscatine, IA",,5.52968568102445,,,,142700,0.28109627547435,5.23598820058997,0.0169936930623686,,0.0877510403473856,0.0288659793814433,98
"County","Muskingum",,"OH","Zanesville, OH","Zanesville, OH",,1.69965075669383,82.89,2.0304,5.0102,105900,-0.469924812030075,7.18623481781376,0.0630783758262512,,0.142174131857071,0.0256637168141593,61
"County","Nantucket",,"MA",,,,6.90919674039581,83.33,,,1582900,0.629370629370629,6.22776994832562,0.0388325225851285,,0.0404907975460123,0.0303030303030303,
"County","New Haven",,"CT","New Haven, CT","New Haven-Milford, CT",,2.25844004656577,70.53,1.72,0.5968,210400,0,4.46871896722939,0.0426473384030419,,0.161174296785304,0.0635538983805443,83
"County","Nez Perce",,"ID","Lewiston, ID","Lewiston, ID-WA",,7.56693830034924,0,,,214300,0.42174320524836,8.94763599389934,0.0623891740550631,,0.0316596087920952,0.0191082802547771,58
"County","Oktibbeha",,"MS","Starkville, MS","Starkville, MS",,5.06402793946449,,,,181800,0.275785990071704,4.42274554853532,0.0127612761276128,,0.0792332268370607,0.0120967741935484,
"County","Outagamie",,"WI","Appleton, WI","Appleton, WI",,6.0360884749709,,,,169700,0.83184789067142,10.1948051948052,0.0106246317030052,,0.0601571946795647,0.0244974874371859,54.5
"County","Penobscot",,"ME","Bangor, ME","Bangor, ME",,0.849825378346915,0,,4.0676,143800,0.069589422407794,6.75575352635486,0.0212726008344923,,0.092002830856334,0.0769230769230769,86
"County","Pittsburg",,"OK","McAlester, OK","McAlester, OK",,2.59022118742724,84,,0.5377,84900,0,13.2,0.00280329799764423,,0.160583941605839,0.0627705627705628,99
"County","Poweshiek",,"IA",,,,5.55878928987194,,,,144500,0.208044382801664,7.27542687453601,0.0202145328719723,,0.0608258928571429,0.00917431192660551,74
"County","Riverside",,"CA","Riverside, CA","Riverside-San Bernardino-Ontario, CA",,6.59487776484284,86.1,5.0627,1.9617,373300,0.484522207267833,7.27011494252874,0.040117867666756,,0.0713769538920745,0.0287223506107626,68
"County","Robertson",,"TN","Nashville, TN","Nashville-Davidson--Murfreesboro--Franklin, TN",,8.34691501746217,86.84,5.646,0.6954,188800,0.425531914893617,9.06990179087233,0.0652754237288136,,0.0524681775846011,0.0138067061143984,59
"County","Roscommon",,"MI",,,,0.483119906868452,,,,90600,0.110497237569061,-0.33003300330033,0.0966445916114791,,0.151219512195122,0.0387096774193548,54.5
"County","Sagadahoc",,"ME","Portland, ME","Portland-South Portland, ME",,3.0325960419092,,,,208400,0,6.0559796437659,0.0454414587332053,,0.0563873225743729,0.0655172413793104,78.5
"County","Salt Lake",,"UT","Salt Lake City, UT","Salt Lake City, UT",,7.26426076833527,0,,,347000,0.754936120789779,10.7564634535589,0.0374005763688761,,0.0440466368198234,0.00537386764931675,42
"County","San Diego",,"CA","San Diego, CA","San Diego-Carlsbad, CA",,8.55064027939465,94.92,2.8949,0.7866,584100,0.205867215645908,6.02650208749319,0.0436586200992981,,0.0532383894814062,0.0134481616429281,52
"County","San Mateo",,"CA","San Francisco, CA","San Francisco-Oakland-Hayward, CA",,10,98.71,0.6997,0.1967,1381600,0.758459743290548,17.1741158510729,0.105060075275043,,0.0169816272965879,0.00772797527047913,39
"County","Sebastian",,"AR","Fort Smith, AR","Fort Smith, AR-OK",,2.72991850989523,,,,113900,0.352422907488987,6.84803001876173,-0.00483757682177344,,0.146658463431516,0.0293654955427373,81.5
